Tournament,Date,Team_Name,Weight_Class,Player_Name,Opponent_Name,Match_Day_Order,Match_ID,Period,Clock,Position,Player_Move,Type,Side,Player_Success,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total,Win_Loss,URL
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:47,Neutral,Single Leg Defense,Initial,Right,1,0,0,None,0,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:45,Neutral,Single Leg,Reattack,Left,1,2,0,Takedown,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:20,Partare,Leg Lace,Initial,Right,1,2,0,Exposure,4,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:18,Partare,Leg Lace,Chain,Right,1,2,0,Exposure,6,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:16,Partare,Leg Lace,Chain,Right,1,2,0,Exposure,8,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Peru,53,Dominique Parrish,Thalia Peche,1,6,1,5:14,Partare,Leg Lace,Chain,Right,1,2,0,Exposure,10,0,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,5:54,Neutral,Knee Pick,Initial,Left,1,2,0,Takedown,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,5:46,Neutral,Headlock Defense,Initial,Right,1,0,0,None,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,5:18,Neutral,Single Leg,Initial,Left,1,2,0,Takedown,4,0,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,4:31,Neutral,Single Leg,Initial,Left,0,0,0,None,4,0,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,4:29,Neutral,Headlock Defense,Reattack,Right,0,0,2,Takedown,4,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,1,3:02,Neutral,Single Leg,Initial,Left,1,1,0,Step Out,5,2,1,Unknown
Budapest Ranking Tournament,7/14/23,China,53,Dominique Parrish,Meying Jian,2,7,2,3:01,Neutral,Force Passivity,Passivity,None,1,1,0,Fleeing,6,2,1,Unknown
